Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_7,15.9305,12.2038,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
1,drone_8,18.1726,12.2126,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
1,drone_9,17.7182,11.0718,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_0,15.7688,10.4945,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_1,16.7591,9.9263,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_2,18.0762,10.2881,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_3,17.6144,9.5679,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_4,15.7232,10.9885,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_5,16.7366,10.5634,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_6,17.8045,12.3002,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_7,16.0720,12.0624,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
2,drone_8,18.3032,12.0820,9.6793,5.6038,"13.766,10.381,0.780;2.245,15.872,0.359;7.056,15.877,2.180;18.976,1.651,1.174;0.640,3.442,1.116;3.031,15.249,0.370;3.779,13.967,0.793;3.376,15.761,0.871;14.576,4.772,0.631;11.411,13.389,0.813;12.822,10.911,2.457;15.371,6.431,0.983;4.890,13.839,1.501;5.435,4.978,0.443;10.599,9.458,1.303;19.114,6.964,0.427;8.221,1.655,0.685;13.694,13.788,0.653;4.165,7.621,1.294;2.850,18.317,1.652;13.176,4.538,0.242;2.632,12.228,0.921;6.800,10.047,1.672;5.862,12.863,0.929;6.554,6.342,0.729;8.734,14.967,0.952;1.003,12.635,0.332;12.159,1.930,1.224;15.446,8.871,0.345;19.034,16.576,1.395;12.586,7.650,0.846;4.408,4.264,1.930;19.763,8.116,0.206;9.563,18.638,1.296;10.138,1.659,1.828;6.011,11.947,2.275;1.721,10.402,1.073"
