Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_6,11.3335,8.0809,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
4,drone_7,17.4194,5.0701,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
4,drone_8,14.4078,6.6081,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
4,drone_9,3.9924,13.4534,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_0,3.8258,15.4209,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_1,2.1377,16.5980,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_2,9.1498,2.2080,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_3,3.5290,12.0328,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_4,4.7435,10.7148,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_5,10.3314,2.0246,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_6,11.5292,8.1223,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_7,17.4772,5.2616,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_8,14.4898,6.7558,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
5,drone_9,4.1903,13.4824,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
6,drone_0,4.0258,15.4245,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
6,drone_1,2.3258,16.5299,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
6,drone_2,9.3236,2.3069,17.0000,17.0000,"13.647,19.155,0.269;4.566,7.142,0.730;14.069,11.984,1.236;5.087,6.321,2.062;3.779,2.338,1.379;17.949,7.819,0.233;16.266,8.924,0.358;17.809,6.896,0.392;7.747,19.416,0.479;19.058,12.407,0.892;17.716,9.765,0.251;16.193,7.952,0.791;5.740,12.979,0.335;1.532,19.001,0.202;15.961,11.710,1.366;7.002,12.154,0.485;8.286,16.650,1.093;10.201,17.989,1.567;3.775,1.182,1.683;15.860,12.532,1.128;14.458,14.819,0.335;6.172,16.944,0.404;14.725,8.735,0.497;5.372,16.645,0.292;14.667,9.499,0.358;7.785,4.657,0.484;12.174,10.220,0.214;1.730,0.589,0.244;4.889,2.734,0.462;12.551,13.957,1.597;7.285,13.982,0.396;18.902,10.409,1.071;7.526,12.634,0.488;5.452,3.588,1.027;14.736,15.085,0.701;5.468,4.382,1.980;0.179,5.171,0.220;5.235,2.329,0.358;13.825,0.804,0.293;12.056,16.724,0.957;19.184,4.802,0.324;14.218,12.692,1.256;10.987,19.106,0.770;6.251,13.412,0.492;1.590,4.464,2.400;2.201,8.648,0.294;7.537,17.692,0.418;9.713,4.868,1.379;8.967,18.589,1.004;11.579,18.162,0.463;2.970,7.063,0.724;1.808,7.545,1.579;18.925,7.903,1.646;7.998,16.028,1.265;9.808,19.736,0.490;11.299,14.411,1.801;7.125,5.726,0.873;7.351,10.444,1.300;6.425,1.708,0.295;7.483,3.813,0.231;8.505,14.389,1.622;19.129,5.578,0.237;14.210,1.415,0.942;19.293,12.244,1.017"
