Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_8,10.907,10.521,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
4,drone_9,11.224,9.238,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_0,9.508,8.812,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_1,10.232,8.894,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_2,9.478,10.606,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_3,10.901,8.470,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_4,8.759,7.871,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_5,10.673,9.837,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_6,9.653,8.179,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_7,9.611,9.689,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_8,11.028,10.399,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
5,drone_9,11.329,9.133,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
6,drone_0,9.598,8.722,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
6,drone_1,10.323,8.804,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
6,drone_2,9.600,10.485,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
6,drone_3,11.006,8.365,16.891,3.580,"18.791158940065014,13.797215574840633,0.8722521652639493;6.575654467280401,14.967290093838198,2.412293353969287;13.06832918406875,2.7850662040915517,0.4496163290911729;10.106040290235025,3.496566758912372,0.8333702500371785;3.6495798935249515,10.101414053822104,0.3124956027946915;17.659005188056344,6.45547708955779,0.7228596621476996;8.17557187706898,4.002761994289259,0.8206410155674455;10.457598185007104,15.290743669671341,1.8583519566471876;12.268966584927654,5.988768463416594,0.25716435792047404;4.784964393796354,5.193474858930423,0.3838373920792143;10.863959273166873,15.59599568935964,0.7707777414212726;17.906271707902413,9.040020178037638,0.3226230261473408;3.9306419623764084,11.145903640012143,0.36898482734538235;18.14129440254126,0.8310028217444589,0.42863391010903207;13.937435511900967,11.753077312296464,2.4857215257118295;14.41200688326872,3.449191281877431,0.41248539650318283;6.160968526445664,5.698570873853231,0.4079133456319159;11.664873703744588,11.556296765211442,0.8131199351346274;7.808612725270231,10.164362685349817,0.7582579128510897;6.803295261774813,5.598631443891314,0.9477609345478053;19.181119040908758,0.7770312095373654,0.4328038829505244;7.55977125513416,2.5890376887349578,2.261091574690563;15.151608942941365,16.673889752705904,0.38339541756701523;0.9919463758242826,17.516255437901503,0.40708634078535066;17.44328236627038,10.110948223822975,2.418754579035714;15.997511083884765,7.294649881504556,0.6928870294210783;16.021483281465766,11.805278070328109,1.1357099028175344;13.627189162265037,2.9816705051188457,0.9943922734308979;2.295323421793303,12.028978561087978,0.41122459164235586;15.170230976048185,10.353846117031939,0.41345559797228204;7.047118454469409,5.374055860926223,0.4278426643844415;14.687654765641657,11.492694875548874,2.272272201032957"
