Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,16.4914,12.8493,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_1,11.6784,17.4550,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_2,12.8380,14.2428,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_3,12.5089,15.7040,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_4,14.4617,15.2066,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_5,5.9771,6.1179,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_6,5.5619,5.5590,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_7,9.6185,5.6199,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_8,9.3510,17.4815,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
1,drone_9,13.4671,16.9838,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
2,drone_0,16.5224,12.8164,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
2,drone_1,11.7014,17.5102,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
2,drone_2,12.8891,14.2332,9.7219,12.9842,"19.579,2.390,0.390;4.903,16.845,0.923;12.316,3.623,0.395;12.633,1.618,1.129;8.245,9.392,0.203;3.064,17.094,1.132;4.848,14.828,1.953;11.685,8.216,1.251;3.373,0.942,0.217;1.490,2.641,0.453;19.028,9.472,1.190;8.241,7.046,1.059;10.943,19.815,0.224;0.714,6.310,1.099;16.432,3.203,1.120;2.735,9.958,1.807;13.964,3.152,1.823;2.431,8.835,1.198;0.404,5.351,0.762;15.232,4.135,1.162;4.167,3.741,0.230;0.518,2.814,0.319;8.572,2.948,1.780;12.105,8.055,1.921;17.652,0.709,0.232;3.379,2.383,1.614;4.456,10.551,1.254;2.733,5.271,0.309;5.863,10.451,1.769;19.469,0.403,0.349;2.105,7.725,1.322;15.285,5.695,1.864;12.256,8.896,2.160;15.293,11.035,0.346;8.053,18.042,0.895;11.461,6.428,0.301;17.127,9.059,1.153;9.106,19.717,0.227;18.150,3.255,0.379;5.272,19.156,0.274;4.619,6.879,0.804;18.814,4.036,1.901;8.180,10.066,1.051;7.905,4.413,0.480;19.547,1.677,0.452;4.304,9.229,0.739;16.810,8.786,0.856;2.211,11.424,2.348"
