Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
74,drone_9,11.252,12.399,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_0,11.651,11.213,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_1,10.472,11.477,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_2,13.080,17.806,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_3,11.163,16.152,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_4,13.423,10.487,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_5,11.040,11.940,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_6,10.000,12.159,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_8,15.532,8.674,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
75,drone_9,11.246,12.385,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
76,drone_0,11.610,11.381,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
76,drone_1,10.335,11.533,14.705,17.274,"9.33808554013309,5.431133489765571,0.3826007796007026;2.2873492811389657,3.9304830163462126,1.7624083520908331;14.925386362200054,12.65600783224044,0.967748510331238;14.50046828850907,7.663659568636873,0.3006804658983719;7.489375049098429,17.673439405786972,0.7737820276394434;3.954010646497449,11.973573063205396,0.4522799242663062;7.208021323779473,12.365557427287122,1.6166170694823943;6.978461085889966,3.2163774751498284,1.2130223859113238;10.973259415609311,4.395559719334683,0.8348017837383551;10.19960759358276,13.693956062893308,1.012073482774238;13.150976928157,8.192109157692236,1.570191635575687;11.382507592861852,1.5056020661159477,0.48208904635367994;2.0848487008097427,18.111293607334737,0.3011604768215146;12.318304825555353,1.4160598153864261,0.7080484896107726;4.190010327557782,8.65301687106417,0.41746406654499424;8.529323384201422,18.032022213881767,0.40116716378139994;19.578776948429255,19.06645462229785,0.3024533317393385;7.095519843056213,15.22316977457777,1.1242123821581682;5.307280131220977,14.818193794296237,0.4946882973513272;11.525895326982548,9.608253563771376,0.951648331434269;13.834386539260498,4.9985405136449765,1.3233954558803307;18.101403656175076,16.506761224316335,0.4660789836510837;18.20534418446014,0.9036584736209679,0.3308448110560357;6.025836453265968,17.83559405689426,0.4456477627398189;2.7482938347615797,5.151434560472925,0.37834907816784363;15.762102412259049,1.795165901695786,0.44449175096043797;3.6437404778222096,3.097221639396358,2.3322976162470814;10.926108830783608,14.060054573048827,1.2576600541248615;16.83655532119468,15.276277428737437,0.6438436805884254;2.9964985890419618,9.98613287774298,0.6975753228400996;3.808353030903049,17.746874552840918,0.33596584238523736;4.1313936473653134,8.067372071270881,0.9043283750848804;2.135278680307576,12.983229770877157,0.3781312042163997;2.8823823111942213,6.71285849946667,0.7564450448310533;11.21443875028013,17.36825539800849,0.7157061170666503;19.13099877256553,1.552220009742052,0.3148648868796505;17.78581719582634,10.435976615589295,2.146758553116241;7.209059646832593,7.042081939228287,1.1357630824436962;3.788481532414698,2.0211323852773373,0.2547318710464597;13.816151955576933,12.91149420719157,2.0283438597925016;16.436239109222413,11.658100409973839,0.43829757980537987;4.817641454976625,4.140691739430514,1.9539735059558843;4.658639340257965,10.240212111021783,0.48875506555341725;17.12854647502859,12.857865500159592,0.8181901751829845"
