Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_0,6.7741,4.5619,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_1,6.8491,6.7629,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_2,6.5628,7.0919,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_3,4.7360,4.3504,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_4,5.9971,6.7733,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_5,5.5717,5.3078,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_6,5.8033,5.8712,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_7,4.6752,5.0134,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_8,5.5517,6.1294,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
2,drone_9,3.9917,6.8892,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_0,6.9155,4.4205,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_1,6.9696,6.6424,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_2,6.6833,6.9714,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_3,4.8665,4.2199,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_4,6.0998,6.6706,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_5,5.6829,5.1966,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_6,5.9146,5.7600,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_7,4.7957,4.8929,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_8,5.6629,6.0181,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
3,drone_9,4.1332,6.7478,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
4,drone_0,7.0569,4.2791,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
