Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,3.8849,3.2470,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_1,1.6645,2.7473,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_2,3.2317,3.7337,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_3,3.4765,1.2306,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_4,3.1157,1.9656,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_5,1.5408,4.1386,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_6,2.0014,2.1164,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_7,1.5035,3.6917,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_8,1.8995,3.5461,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
0,drone_9,4.2670,4.1229,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_0,3.9849,3.1470,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_1,1.7645,2.6473,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_2,3.3317,3.6337,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
