Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,1.658,13.303,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_1,3.867,15.687,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_2,4.451,13.212,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_3,3.100,15.402,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_4,3.944,15.000,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_5,3.775,13.303,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_6,2.290,13.218,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_7,4.229,14.233,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_8,2.411,15.329,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
0,drone_9,2.734,14.336,14.422,16.478,"8.358598177616322,8.395207309289884,2.376802710276258;1.6243816010107026,8.803686464903594,0.48573192149896083;8.749989125108419,7.169721439729411,2.076947605667413;10.388261202603715,5.427583982086755,2.0677277131939933;12.299306333445733,13.572371721241986,0.21825937010670265;16.366282329923216,3.6272633977262574,1.6038407529805587;17.826219165553727,17.980524695427697,0.6684975575194091;17.678399154510927,2.1620571331699043,0.4157352956680317;0.6860272078575157,7.574907205194327,0.26261465607528206;2.3578147968508527,17.3426712759649,0.4123396583988482;11.699077753232427,4.888132785055532,0.3380160129525782;3.393243443931474,8.079655550400192,0.6692594391803783;8.606288610629527,4.141224577012241,0.2849612873139421;14.91495667378013,6.5083236325803115,0.6190394812476654;5.325365144284361,12.008277251828241,0.8241547239439578;16.15148139733519,2.8829558906441495,1.3429081454334653;14.870085721927552,4.920832137348094,1.3823776231235443;7.211332000825699,11.899054204929254,1.060425096761762;12.135306777931396,13.132592226323766,0.8224740740117902;11.472491383128643,5.452794278914931,0.6049129893705376;10.425678258400808,2.8538611452672438,0.6796673665483572;3.329905717517662,13.582603067609915,0.22389520732235182;6.1910623167985825,9.185272384957816,0.499657877329673;1.5212929523208336,14.582566015753358,0.8550043434472558;9.622859952384584,12.230369054381303,1.1595976018582972;12.698035222464771,4.994956668984096,1.8910043937740304;3.365383161944768,19.206918536718394,0.7356461102371424;11.401749881846618,3.4304642182508367,1.6126426461635806;5.576875998092799,7.915212453194652,1.55865994350027;17.2615673839368,9.796114122740727,1.6524476311462273;11.170148825935724,11.275729431098425,1.0490885921750617;9.98860132757253,7.331450712901771,0.4380879965524188;3.9400050304584453,2.0379616158634337,0.33124671950923407;17.514013506636744,4.0289345044506,0.8598833227170064;10.832856132531422,16.438993626135517,1.5252570220828885"
