Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
14,drone_9,6.2026,14.0914,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
15,drone_0,8.1012,15.0305,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
15,drone_1,3.9919,4.1483,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
15,drone_2,8.2326,17.3131,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
15,drone_4,18.2196,6.1175,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
15,drone_7,3.1901,11.3397,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
15,drone_9,6.3497,14.2269,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
16,drone_0,8.2546,15.1588,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
16,drone_1,4.1039,4.3139,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
16,drone_2,8.3881,17.4389,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
16,drone_4,18.2191,6.3174,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
16,drone_7,3.2932,11.5111,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
16,drone_9,6.4956,14.3637,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
17,drone_0,8.4055,15.2901,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
17,drone_1,4.2363,4.4639,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
17,drone_2,8.5426,17.5658,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
17,drone_4,18.2366,6.5167,17.0000,17.0000,"9.448,18.522,0.201;8.339,6.353,1.631;17.233,19.581,0.337;0.621,0.322,0.332;6.292,3.763,0.453;12.789,12.414,1.793;9.330,9.088,2.464;9.361,10.621,1.937;11.009,17.400,0.239;4.238,8.676,0.473;0.305,15.414,0.217;9.998,6.468,0.364;4.092,9.744,0.918;10.731,17.440,1.148;9.010,19.302,0.821;15.094,9.980,1.913;12.320,15.856,0.376;5.277,10.356,0.864;17.467,14.509,0.391;9.445,2.370,1.034;14.041,14.442,0.902;12.744,5.903,0.775;14.341,13.359,1.131;4.902,9.874,0.756;16.019,4.906,0.487;15.017,2.042,0.406;3.596,8.633,0.335;8.956,0.366,0.280;9.916,15.171,0.492;8.270,14.337,0.288;6.017,3.826,0.374;1.052,3.449,0.496;12.248,3.358,0.221;11.155,16.240,2.326;10.872,2.896,0.699;14.086,5.304,0.877;16.985,8.991,0.268;14.195,18.769,0.465;2.727,19.360,1.208;18.718,13.308,0.215;11.657,16.934,2.427;0.235,13.689,0.356;8.472,2.466,2.225;12.537,14.163,2.365;10.932,10.591,1.887;4.029,18.263,0.301;9.830,3.939,0.379;5.360,1.274,0.493;15.019,11.637,1.115;8.346,4.373,0.908;6.194,6.620,0.433;17.170,4.729,0.256;14.619,3.266,0.237;13.510,7.730,0.385;12.531,1.027,0.329;2.781,18.469,0.790;18.414,0.273,0.299;19.171,10.774,1.617;16.345,2.290,0.700;9.679,14.283,0.384;9.334,12.625,1.386;17.442,9.987,0.414;13.379,4.061,0.654;3.330,16.633,0.354;15.286,0.871,0.225;6.017,9.003,2.175"
