Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,1.234,12.329,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_1,10.405,2.629,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_2,7.438,10.410,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_3,12.087,7.792,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_4,12.576,13.535,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_5,1.936,3.803,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_6,6.388,11.460,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_7,10.418,11.309,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_8,12.710,14.354,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
1,drone_9,15.346,12.515,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_0,1.403,12.223,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_1,10.263,2.770,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_2,7.579,10.552,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_3,11.945,7.933,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_4,12.404,13.535,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_5,2.077,3.944,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
2,drone_6,6.188,11.460,3.048,11.474,"13.867073940517564,9.128824998725854,1.9445954183283947;16.94579062729651,9.671908270582707,0.42285761512062947;13.107613518826131,10.199433376182943,2.119062839019542;14.973799671433405,2.877775002942677,0.4117968275233478;17.470356457270956,3.8676015740727703,0.2961768042133203;3.7300747132680083,7.444722016168405,0.45494099931636245;16.79805296814009,4.533087002662836,0.9062114381093788;6.351722275490487,10.15198506392273,0.731149312019576;11.15203997474389,5.6980593554424335,0.9828772146523487;13.22925735776744,6.505016748186347,1.2030271353352457;2.72801500298088,5.795761015047642,0.47069293637522486;18.366077540883744,7.118549086459533,0.2567850655213095;8.025126234673724,12.761671070737385,1.5437375193836258;9.182550829927871,18.76600663564349,0.7922670459890273;7.297261661868246,7.086574131577029,1.9142144757553905;5.619240640284263,1.5955920849592136,0.3179784750149956;18.550148264467815,6.931698138313523,1.3548918698635402;9.918419468882245,13.85261814161503,0.37479727188433987;14.963812677335959,17.625905559396394,1.997395877756741"
