Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
130,drone_1,12.244,15.327,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_2,15.900,4.132,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_3,15.755,16.006,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_4,17.254,14.210,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_5,7.979,8.187,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_6,7.656,9.137,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_7,17.918,14.943,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_8,8.667,8.620,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
130,drone_9,13.219,15.950,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
131,drone_0,11.412,14.269,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
131,drone_1,12.064,15.240,16.906,3.623,"7.792043278045824,15.518472358292392,2.018851448339287;10.232897474502122,16.359026823004502,0.258552911904763;10.988087713354325,7.004205779389924,1.7924891611248377;10.7139693437943,11.109746268896888,1.3417087050776426;6.6260053772755185,8.729593874281862,0.39619139270296627;18.672613257463553,12.98598038816295,1.0924142443753502;4.52701382947202,9.108055712761416,0.4083868305278934;8.062536219119435,3.052540493213364,1.0597974459561799;4.787568438001592,12.02091781547729,0.36473509670278903;14.33128593836282,12.497122466835835,0.6487931515850888;8.423559071410416,2.1718440038483218,1.0789384517977252;10.978003892727832,11.497008822689263,1.634485150130036;5.5368768088791525,17.03374389945504,0.6593260690643455;7.0483198554228785,2.141640987729553,0.9274300346528677;9.138701791873109,10.94390344639755,1.0675109812966603;4.79995773637104,2.7083393178221824,0.3363423014835817;2.432094710960461,9.705909652280443,2.0238824030637206;19.403860757170094,15.11134508994659,0.33472985750428197;18.5871447595996,19.538439235330955,0.4259102617538202;19.351021284708988,15.048956818273636,0.263110987453418;19.122475391778124,10.817770303160769,0.45177270510082984;4.538670423909404,0.509859537655589,0.2228899498422198;14.588015302413467,13.009808880325693,2.2062070900506185;1.1591428098517753,5.159155090751215,0.2175007716874727;19.60864835181739,4.83584891952275,0.28249740874823054;7.922313067582942,15.738755056722347,0.24534758929611564;9.837885059574209,14.882300178815864,0.40465997888218935;13.94079224128417,6.593497611814122,0.6961567865624018;1.6705105872328618,4.953129049228684,0.4258561471763151;14.007208885731167,6.7157906458309595,0.9801497899988663;6.7914272331464955,10.721153056194156,0.37553454433902417;8.006354479751483,16.955137240702392,1.0928113381733617;3.5079517325382814,17.6796494105481,0.7273853563365176;2.6279441378969026,8.00323463504965,0.42955676596029196;2.897637482262216,1.8799553087822476,0.2992910568806516;17.01690199086081,10.247200341118262,0.8955561256572772;3.648936463818494,9.272773842128268,0.3854330678343867;8.212618610775635,5.974787072948146,1.1262614508182316;6.13043776742274,13.972850750230382,2.172682001089253;3.0293961080638954,8.501454961977126,0.2196833342059424;16.88312160590052,15.0625059681648,0.2049408680026705;10.638018173415498,17.021985563667194,0.4447509032945974;3.7734012416238585,3.438907118874835,0.40078290537374683;10.684019084257686,10.714469193062737,0.8211239103617207;9.813879363123343,10.1467895723997,1.2331238263274427;18.20536360022473,9.454133040566981,1.3020082111885434;7.0630589681946345,13.692408478832334,1.2830409759721633"
