Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
26,drone_4,6.116,16.546,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
26,drone_5,6.508,11.616,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
26,drone_6,7.258,15.817,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
26,drone_7,6.308,15.579,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
26,drone_8,7.992,13.638,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
26,drone_9,7.660,14.430,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_0,7.026,14.939,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_1,8.647,14.058,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_2,5.180,11.800,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_3,8.559,14.808,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_4,6.251,16.449,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_5,6.708,11.622,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
27,drone_6,7.363,15.713,14.113,9.481,"4.913965787919037,14.5418992164545,1.107077026755035;8.402476163070197,8.12907119188439,0.7670133905123364;11.50544553964504,1.5438883164282484,0.38144069175817896;2.3056511397347275,5.276940412890001,1.2510835676916865;18.20985546297443,16.59603384793441,0.2153557901082665;10.851189595693139,14.731174087154407,1.0626715255135364;7.284371408835838,2.396694311004092,0.8217135226999948;3.2371005920880735,5.910917982288551,0.6052345463784479;3.6035483100271035,8.076078360628879,0.4617083673272431;8.583924176478938,10.310353198008412,0.3534922142911533;11.716155716487316,5.73889706246224,0.24385065346220708;15.501660979687317,6.2769483175619225,0.4917141326044477;19.387802468779846,13.080192309984357,0.3323781413943535;7.0019295500023055,16.859068962478084,0.21288120109046352;3.3514301565964915,17.942818581875958,0.6958496562313621;2.6244679703479243,3.7324613736179506,1.3852939581004853;4.029720146153088,6.252400782135124,2.272206264749717;17.22301544991359,17.16304254647583,0.2893029272329684;1.728617482879434,9.76299480505437,1.2112181012939298;18.2050885441566,13.069663647295892,1.001209609405903;19.61119606309462,18.263933694504196,0.2626841430054519;14.520756060306406,1.167054480867827,0.3749603418380303;3.2627007412931412,2.1163186490874364,0.696119090107426;1.0252515328277263,9.170447999259629,0.32121558331421124;17.14203733621341,9.193724699915395,0.42739248654883977;12.746168738376216,13.825847111698168,0.6234735805657002;17.584385669806455,16.211917135477762,0.3240657773137046;15.267305871876333,3.064599247854063,0.20574293272802657;11.301484552133042,18.22625302375858,1.3167864175337904;18.24791200753662,14.704091149640629,1.3399839969829275;8.68232273659981,8.979548711958293,0.7769933471177443;16.330229037707255,10.860551601593203,0.23603618712682908;17.120796235877044,7.564013401727148,0.2816744753588894;7.175521205930337,12.701905282524846,0.2574854393025387;9.176769394886104,16.84098088484785,1.2736600338926534;14.776104131870758,17.107337440128937,0.38985351465509;18.913076472802413,9.961652977009487,0.7420902778177433;13.990334235547989,0.9682419834277353,0.47873938110787795;7.6095229981901795,17.698218957351262,1.1240807477866874"
