Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,16.5029,11.0589,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_1,16.5346,9.1173,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_2,18.0120,10.4501,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_3,17.0233,10.2383,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_4,17.6009,9.2941,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_5,16.4038,10.2730,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_6,17.2649,11.1765,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_7,16.6676,9.6577,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_8,18.6411,9.4635,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
1,drone_9,19.0895,9.1021,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_0,16.6141,10.9477,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_1,16.6651,8.9867,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_2,18.1534,10.3087,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_3,17.1260,10.1356,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_4,17.7423,9.1527,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_5,16.5151,10.1618,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_6,17.3854,11.0560,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_7,16.7788,9.5465,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
2,drone_8,18.7716,9.3329,8.1395,16.2123,"11.477,18.745,1.041;3.206,7.603,2.444;3.587,1.591,1.258;12.731,10.466,1.689;15.683,18.726,0.654;4.896,10.837,0.283;1.707,9.772,2.240;18.589,4.429,0.495;10.018,13.845,0.407;0.703,12.413,1.333;15.713,2.998,0.393;5.946,13.288,0.840;18.950,13.574,0.781;17.000,12.649,1.154;14.202,11.628,0.477;10.729,7.479,1.666;0.576,15.613,0.497;8.504,11.927,0.883;4.204,0.724,0.634;7.149,2.781,0.349;7.767,6.015,0.766;0.725,4.845,0.940;4.591,9.215,0.468;11.489,4.479,1.109;11.367,9.277,1.101;6.843,2.935,1.199;5.978,6.570,0.266;10.070,2.860,0.278;15.010,18.457,0.455;4.191,11.469,0.396;7.520,5.556,1.265;0.974,3.308,1.197;4.478,15.845,1.190;0.513,2.182,0.485;12.744,18.764,1.074;6.479,3.616,0.603;17.625,14.302,1.253;15.699,6.500,1.013;8.552,9.722,0.484;4.926,2.315,0.840;15.568,17.175,0.330;13.907,19.706,0.334;2.857,2.884,1.723;8.757,7.445,0.243;14.548,7.148,0.433;8.542,9.455,0.282;15.206,5.496,0.880;9.301,13.304,1.112;4.359,3.461,1.367;5.453,5.814,0.282;8.547,1.810,0.325;13.163,19.490,0.500;14.523,7.468,0.341;9.045,3.499,0.405;10.787,2.767,0.794;11.522,1.146,1.936;5.039,10.195,0.821"
