Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_5,9.7513,16.0985,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
4,drone_6,7.4588,15.4754,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
4,drone_7,9.4143,14.4729,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
4,drone_8,7.9938,15.2319,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
4,drone_9,7.7931,14.1281,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_0,9.0466,14.7031,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_1,9.5071,14.7317,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_2,9.2985,13.6366,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_3,7.2159,14.8701,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_4,9.8766,14.6849,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_5,9.8927,15.9570,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_6,7.5793,15.3549,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_7,9.5170,14.3702,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_8,8.1143,15.1114,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
5,drone_9,7.9345,13.9867,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
6,drone_0,9.1578,14.5918,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
6,drone_1,9.6183,14.6205,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
6,drone_2,9.4291,13.5061,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
6,drone_3,7.3364,14.7496,6.1305,6.4179,"16.287,5.247,1.177;11.951,5.868,0.225;16.674,4.244,1.345;1.013,1.897,0.446;0.360,10.142,0.709;19.588,7.108,0.438;10.594,4.823,0.990;8.277,9.661,0.794;18.976,0.495,0.309;19.378,3.864,0.660;1.954,5.094,1.127;9.080,8.302,0.361;18.060,3.388,1.773;9.752,19.103,0.727;7.683,9.547,0.470;13.102,17.567,0.301;19.121,16.175,1.192;14.422,7.090,0.333;19.164,14.759,0.730;17.370,1.894,0.445;8.973,13.248,0.279;0.355,16.671,0.210;13.231,17.686,0.267;14.548,14.863,1.392;17.039,8.951,1.023;13.646,1.329,0.828;13.872,7.398,2.315;11.075,1.107,1.193;12.595,4.169,0.245;5.523,17.970,1.536;9.370,3.889,0.252;3.828,1.149,2.215;14.152,0.290,0.407;2.056,12.623,0.935;12.492,5.300,1.338;9.121,3.089,0.225;13.196,4.287,1.827;18.750,12.039,1.066;10.217,6.487,0.711;15.910,14.472,2.045;5.647,9.209,0.256;11.827,10.054,0.340;9.537,3.691,0.757;3.474,16.599,0.222;3.466,16.616,0.294;2.515,16.541,0.378;1.658,16.753,0.323;9.840,19.643,0.365;12.634,17.970,0.778;3.747,12.916,1.158;1.336,1.728,1.848;0.325,19.673,0.429;16.268,14.487,2.194;4.918,1.386,2.487;9.347,10.168,0.407;12.235,16.744,0.977"
