Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,17.5675,5.3099,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_1,17.8563,7.5822,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_2,17.3129,7.0756,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_3,16.2504,5.8336,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_4,16.8601,6.7346,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_5,16.7196,7.6687,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_6,16.5605,5.1241,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_7,15.0929,5.1282,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_8,15.2207,6.8287,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
1,drone_9,15.7526,5.0293,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
2,drone_0,17.6491,5.2109,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
2,drone_1,17.9423,7.4963,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
2,drone_2,17.3957,6.9777,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
2,drone_3,16.3255,5.7297,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
2,drone_4,16.9389,6.6367,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
2,drone_5,16.8061,7.5813,3.6865,13.4832,"10.092,11.333,1.144;18.868,16.850,0.290;2.252,3.809,0.812;5.996,15.953,0.393;12.421,18.634,0.632;3.762,5.736,1.735;6.758,7.142,1.037;10.222,17.798,1.281;13.365,11.750,0.262;16.573,1.630,0.348;1.347,7.337,0.683;17.926,17.859,1.023;16.344,19.257,0.801;4.577,19.295,1.208;1.806,1.227,2.389;11.840,10.162,1.374;12.811,19.014,0.466;7.988,1.304,0.270;9.443,7.875,0.369;16.075,13.279,1.279;0.807,6.541,1.012;9.762,10.521,1.229;17.752,18.935,0.346;10.316,2.877,1.724;5.630,6.997,1.207;11.389,2.279,1.230;6.192,17.820,0.863;12.443,18.974,1.159;9.177,6.111,1.772;11.890,18.008,2.489;14.908,12.593,1.631;19.339,0.828,1.063;12.265,7.271,0.499;1.508,4.189,1.849;16.814,14.771,1.610;2.420,10.068,0.480;4.785,2.803,1.950;4.178,9.305,0.982;1.653,8.343,0.243;17.205,16.465,0.383;7.799,10.846,1.095"
