Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.5700,14.7940,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_1,7.6560,15.0838,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_2,8.1304,15.0053,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_3,10.6128,14.9531,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_4,10.0083,13.3392,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_5,8.2145,14.1116,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_6,10.4109,14.4791,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_7,10.3580,12.8665,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_8,9.9082,14.9360,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
0,drone_9,9.4740,13.3569,17.0011,16.4230,"12.263,10.449,0.802;0.912,9.713,1.334;14.594,12.808,0.396;5.554,17.895,0.379;15.246,12.055,1.356;10.688,4.819,0.872;4.861,9.415,0.942;9.112,18.310,0.470;16.063,4.199,1.354;1.843,12.176,2.370;5.326,16.702,0.317;13.695,4.951,0.366;6.177,4.011,0.824;10.922,10.302,0.201;19.116,15.559,0.215;10.849,15.943,0.305;15.679,6.688,2.496;12.613,11.895,1.124;13.686,2.997,0.279;11.184,5.170,0.303;7.873,6.331,0.632;15.334,10.985,1.981;10.385,6.093,0.260;18.593,10.745,2.326;18.041,6.274,0.962;2.504,14.211,1.603;7.888,16.965,0.378;0.970,14.208,1.118;14.921,19.527,0.437;10.860,5.268,2.183;2.178,1.208,1.698;14.384,1.871,0.630;5.814,6.709,0.304;17.616,9.738,2.348;7.707,2.453,0.400;2.026,10.490,0.799;13.987,13.222,0.295;1.514,4.728,2.144;1.397,0.555,1.101;1.701,19.278,0.397;13.063,17.090,1.787"
