Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,9.551,9.737,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_1,9.551,8.961,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_2,10.300,11.329,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_3,9.715,10.771,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_4,8.793,9.910,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_5,9.350,11.390,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_6,8.651,11.106,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_7,10.693,10.860,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_8,9.050,10.636,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
0,drone_9,10.107,10.142,17.771,13.834,"8.31556052613865,12.4803304537036,1.162379671334571;6.857828382632725,14.340352290351232,2.2530995618481704;8.821239212362034,9.034731059088383,0.4163067747914596;10.388801397701885,0.5119917417012014,0.4846197646220215;12.057772087636177,10.396112672033318,1.1466932125943385;9.627751134681981,2.906315382134001,0.45645304551056;3.2787293589600934,2.5142889343365895,0.9000233634655563;15.66712789049087,17.432720587289364,0.2468178781110077;5.5061412395204625,3.4414825976305337,0.9268456890119489;10.58438603171268,8.495037616856598,0.3858439504786665;16.698559285930084,8.433770276562107,0.45252070413743334;14.732169615916831,1.9728794411538253,0.48620787102986013;3.6953970812751353,0.7862299538304176,0.22510356942380244;10.485387615878498,19.537794938583193,0.2535371041860495;13.628968943430216,12.646003397138529,1.9860931215529911;5.166837485258916,6.393831863205501,0.8013328518151096;2.2375880390949705,5.055673960654766,0.3399084128240497;3.3158069917116615,12.613339659022463,1.0826751600323943;2.3395209692282672,14.201945464975626,0.8486031084394828;9.55151418871326,2.6765333170543917,0.3055140278294554;2.236524496871989,5.44818943873421,0.3664682605299072;9.103264953807772,18.757445119269196,0.21097446398947464;6.209025396125173,5.423279979742325,0.2757589363173406;3.5271035595153504,6.567598143478273,0.3516653861275566;10.47551633035496,1.7343609357935443,0.45444584655717807;1.39462597639247,19.161004731925853,0.42181771162030934;14.39278802085058,8.819518655341959,0.48010820411152494;15.87652421852725,1.5299989134843914,1.0781438092496274;3.0377897885992864,15.422176770615271,1.0001681780319616;6.974874552730601,7.6996730599551615,0.32897859851276856;12.521186324262082,16.66530771133001,1.0177244544796378;10.856849183218483,19.17936859806976,0.6826721828225539;10.630213220897785,12.980625913854515,1.015953335955565;11.131649227836554,9.189549997236362,1.1004256942574995;14.448556073831456,12.667271963140669,1.1806526934088504"
