Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_5,17.810,8.073,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_6,16.689,8.073,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_7,17.479,8.982,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_8,15.165,6.818,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
4,drone_9,18.039,7.262,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_0,16.167,8.299,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_1,16.932,7.476,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_2,14.879,7.318,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_3,16.345,9.367,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_4,16.742,9.637,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_5,17.773,8.217,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_6,16.778,8.191,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_7,17.432,9.122,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_8,15.000,6.867,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
5,drone_9,18.008,7.432,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_0,16.155,8.372,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_1,16.778,7.442,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_2,14.708,7.332,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_3,16.255,9.514,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_4,16.698,9.778,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_5,17.775,8.344,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_6,16.766,8.309,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_7,17.463,9.267,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_8,14.832,6.907,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
6,drone_9,18.051,7.599,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
7,drone_0,16.242,8.486,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
7,drone_1,16.611,7.483,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
7,drone_2,14.544,7.280,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
7,drone_3,16.237,9.685,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
