Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
9,drone_7,11.570,5.821,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
9,drone_8,10.368,6.234,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
9,drone_9,9.848,5.528,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_0,11.985,7.407,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_1,13.754,6.541,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_2,11.397,7.230,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_3,10.947,7.534,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_4,12.666,6.178,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_5,12.442,5.146,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_6,12.386,7.719,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_7,11.600,6.019,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_8,10.353,6.406,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
10,drone_9,9.764,5.709,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
11,drone_0,11.938,7.547,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
11,drone_1,13.875,6.700,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
11,drone_2,11.492,7.343,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
11,drone_3,11.095,7.534,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
11,drone_4,12.773,6.347,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
11,drone_5,12.539,5.321,11.428,17.873,"13.704987620735865,11.325911566390038,1.1854269760580078;8.703735877431079,3.1042843454080282,0.8591624438231718;7.252591458327627,9.230034200295783,0.7697219909531777;4.7821679191227,10.681417533798692,0.3052696192557722;17.164633167519987,3.059570012275929,2.1703896237061318;19.558763267544357,8.260488030420852,0.22259437051919198;2.172287784552937,5.145847551869759,1.9807315152178413;3.110404227036899,2.0935081943943237,0.9377106384786403;10.481408476041832,8.466506959442418,0.7801878293003554;16.70311491527465,4.078514711109886,0.6958606941911536;1.567419424027663,4.768389882428819,0.48272158814876365;7.369043857208813,9.654603734932493,0.3245746778186971;8.819163260601497,2.3487167598735716,0.4739243036820597;6.7559291874610565,17.85725319291512,1.0563580699014063;7.869342641706703,11.494997743606389,0.8288054156571149;17.536806846229144,15.495314157513565,1.1348910246294772;18.075705760538604,4.721044101226935,0.7172121487967082;6.85702674489008,12.821277251723192,0.8677113697879091;11.803578212293855,11.226502534961542,0.38157241536485464;19.287357891809975,17.230473518203663,0.4026396505657557;16.578046742319923,2.8734418783860414,0.4022338838525527;5.969120524061187,18.720723038414068,0.6557344698793389;12.706362727879506,13.492254782035026,1.2797625246537103;13.122282196910191,7.611792866165756,0.31894094135838974;5.977443752570724,3.9385359163376035,0.2091725606144284;2.619329812644773,15.343449353075536,2.0604806002671374;0.5223312790420966,7.412146973779916,0.27457731452148726;5.576534682967294,16.78005000432719,0.7015961927172746"
