Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,15.9272,13.3636,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_1,4.0148,15.1577,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_2,18.2199,18.6188,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_3,14.6752,14.1807,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_4,10.8322,15.4030,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_5,2.3153,11.4443,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_6,2.0851,2.9334,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_7,12.0693,10.6900,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_8,3.7992,1.3315,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
1,drone_9,17.6559,7.5017,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
2,drone_0,16.0686,13.2222,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
2,drone_1,-100.0000,-100.0000,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
2,drone_2,18.3614,18.4773,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
2,drone_3,14.8166,14.0393,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
2,drone_4,10.9736,15.2616,17.1149,2.5926,"3.570,9.301,2.173;9.643,5.840,0.883;14.731,0.165,0.218;10.120,17.952,1.364;13.954,18.870,0.482;10.421,1.363,1.909;0.528,2.697,0.358;5.590,11.834,0.623;13.912,0.611,0.971;1.826,13.885,0.240;16.538,12.729,0.689;14.237,12.443,0.345;0.655,7.326,0.326;4.402,0.539,0.226;15.743,6.115,1.360;8.943,10.074,0.445;9.328,13.968,1.020;3.049,17.741,2.123;8.843,7.011,1.056;6.308,18.733,1.085;10.293,14.210,0.422;0.401,15.874,0.377;18.858,7.281,0.459;12.913,16.540,1.327;8.540,18.118,0.249;5.805,3.092,0.709;18.303,14.447,0.205;4.080,0.327,0.284;19.209,17.185,0.217;13.967,9.017,1.832;10.688,19.574,0.395;17.403,11.490,1.360;1.636,7.704,1.275;8.392,14.722,1.107;12.566,14.611,0.456;7.830,9.580,0.397;7.011,6.565,2.431;13.440,5.149,1.327;0.702,13.517,0.750;6.449,9.650,1.919;7.403,18.626,1.060;8.393,10.527,0.436;11.767,3.985,1.913"
