Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,18.2182,15.7581,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_1,2.3343,2.8172,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_2,15.5497,13.1097,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_3,6.5484,2.6732,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_4,3.8274,2.9777,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_5,11.9472,13.3134,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_6,3.8933,13.0242,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_7,4.9829,2.2431,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_8,6.0477,17.1626,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
0,drone_9,2.7150,5.8151,11.5504,14.1077,"9.480,17.624,0.727;13.398,1.625,0.201;11.320,1.872,0.679;10.044,4.737,2.482;1.099,8.698,1.008;7.379,5.908,0.227;10.785,3.815,1.623;0.159,5.134,0.265;4.642,7.499,0.212;3.150,11.538,1.200;12.148,8.035,0.819;8.208,2.304,0.692;13.620,11.868,0.756;12.223,5.271,2.072;13.783,5.412,2.110;3.130,5.210,0.275;17.546,5.200,0.450;18.161,3.244,0.862;4.452,1.929,0.373;8.638,15.523,0.448;7.630,5.137,2.405;14.382,9.664,2.448;2.484,14.520,0.268;11.719,8.286,0.480;9.996,6.723,2.307;6.614,7.585,1.340;18.680,5.962,1.821;8.567,18.826,0.880;15.089,9.207,1.986;17.878,7.870,0.356;5.366,0.738,0.336;2.307,14.560,1.024;6.578,10.502,1.894;3.257,10.659,0.663;19.343,19.159,1.016;16.690,3.136,0.390;14.813,1.305,1.921;11.703,18.613,1.200;17.351,0.820,0.217;10.378,3.766,1.933;0.837,1.513,0.337;19.237,14.589,0.625;9.301,12.929,0.338;15.127,19.032,1.379"
