Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,13.7137,14.4267,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_1,14.0816,14.7633,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_2,15.8122,14.1405,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_3,13.3071,14.0947,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_4,14.1388,13.2705,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_5,14.8366,13.5279,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_6,14.7898,13.9721,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_7,13.9654,12.6334,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_8,14.3841,14.1729,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
1,drone_9,13.5880,14.8551,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
2,drone_0,13.8164,14.3240,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
2,drone_1,14.1928,14.6521,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
2,drone_2,15.9536,13.9991,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
2,drone_3,13.4276,13.9742,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
2,drone_4,14.2415,13.1679,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
