Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
6,drone_8,9.764,8.464,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
6,drone_9,10.300,2.466,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_0,6.344,18.078,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_1,17.925,8.304,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_2,15.727,7.471,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_3,2.763,14.634,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_4,2.887,13.625,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_5,4.475,18.248,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_6,9.528,14.851,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_7,10.930,11.319,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_8,9.905,8.606,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
7,drone_9,10.127,2.566,17.670,17.700,"5.559847408581185,14.164522387561048,0.373316634303347;7.762539918873087,9.176210815620589,0.6677980951658045;12.409642636865717,3.5766511808155776,1.2802806243338096;18.68312024521373,2.928956440948828,0.6529655088394573;9.556364722721467,12.227893508866755,0.6642360687946626;2.1107675508640433,10.818173858791438,1.1348641043107937;5.073233054915583,15.501326807315063,1.3009242159905783;11.024835804207404,12.76328245230022,0.9122203877686746;9.39061971960931,4.691843513338697,1.591421144622838;16.46469937030098,12.485346390226523,0.28591661047554956;12.184627743198375,14.400904455447293,1.5219361208746318;2.14450001189815,8.620723383433686,1.2088333290541462;14.332165053927685,12.249598230057916,0.23796262188939715;1.5104752063298525,18.492578130344995,0.3735030200726384;12.432706089085226,6.365504571265427,2.0386680362691427;15.543828354960736,12.328361458802647,0.23084292569785692;18.326767782710643,4.082463487863453,0.7168899420928687;19.249250525506103,13.890884790812573,0.46122038838923207;16.83952147031081,10.744554970962373,0.43711849475861614;12.493504543610753,3.195545023582828,0.4702787211231797;14.764834736507707,10.704360023774031,0.3471316531506839;4.274117347876622,6.5788741585356405,0.8068126152240267;5.1996635265802755,17.5227114087231,0.2965190231400785;10.384776336292804,18.833088061730425,0.35865693893988243;11.770610252909941,4.965948978431941,1.0492933432916272;5.775715983673542,1.1584969404306458,0.9234861919449313;2.405545501741407,10.91402984142198,0.3344820188526663;10.352746289166245,1.1494789382539317,0.4214113153763449;12.308491213942627,8.68538263529282,0.799660936039713;12.55438665143462,9.981679139842338,0.6461214977496194;17.274452490406684,9.273426427906433,0.24685628746454538;11.693813549541314,15.704332237624612,1.8664062512269752;13.146372501565644,12.65695614415665,0.44474516997421376;16.854455870973545,3.3504153705746678,0.7357964703262461;12.052754527693144,17.65397158450357,0.3835067480988934;5.299795130144334,12.135404765194977,2.0422126844701918;18.161917757153205,5.153986632299047,1.7293540424164202;12.268295466034386,13.658913148278517,1.504456178968122;19.14962801643638,12.16413655606378,0.2931784610049499;3.6219298089166276,10.173590406323695,2.082022847793725;12.478938145004983,10.844736414861304,0.6314516976788137;5.286262953419909,8.286008315965917,1.808448223136764"
