Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,8.2536,16.5589,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_1,1.8161,14.2399,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_2,17.9758,2.7054,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_3,1.4505,9.9295,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_4,13.6670,16.5999,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_5,14.4165,16.5983,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_6,12.6274,7.8237,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_7,2.1376,13.9950,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_8,12.4979,5.4750,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
1,drone_9,18.6381,11.9697,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_0,8.3951,16.4175,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_1,1.9467,14.1094,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_2,18.1172,2.5639,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_3,1.5919,9.7881,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_4,13.7976,16.4694,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_5,14.5471,16.4677,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
2,drone_6,12.7688,7.6823,9.1979,7.1463,"17.206,5.987,0.207;5.339,16.730,1.659;17.598,9.929,0.388;2.899,3.869,1.000;2.879,7.227,0.383;9.774,10.958,1.723;8.333,12.045,0.471;5.434,4.683,2.302;16.090,6.090,2.373;12.942,1.179,0.439;8.053,12.052,0.493;11.874,8.638,0.310;11.096,0.721,1.030;7.729,1.194,0.474;17.411,8.247,2.390;13.607,15.277,0.404;15.026,18.362,0.379;8.910,14.105,0.831;15.626,19.063,1.244;17.626,13.954,1.754;18.862,2.497,0.399;3.607,16.892,2.356;9.881,17.443,1.057;0.801,5.868,0.463;7.452,10.751,0.314;4.148,1.171,0.783;10.762,9.875,0.439;10.949,16.141,0.372;18.823,16.218,0.326;10.349,1.437,1.055;9.766,11.963,1.020;16.336,0.914,0.785;16.131,13.934,1.566;11.936,11.598,1.293;11.451,2.766,0.963;15.618,18.733,0.994;7.349,2.886,2.411;13.544,3.941,0.367;11.250,17.018,0.287;3.194,6.460,1.399"
