Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
18,drone_0,13.973,13.519,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_1,14.847,11.835,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_2,14.634,10.855,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_3,13.153,13.374,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_4,14.864,12.744,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_5,14.208,12.108,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_6,14.039,12.756,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_7,15.519,11.872,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_8,14.412,11.402,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
18,drone_9,15.260,10.653,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
19,drone_0,13.958,13.466,4.741,8.875,"1.4399109379006032,2.6800168692234605,0.8062906466484483;6.3168622904928595,17.306141475231403,0.4668695952976217;2.1933766162224417,3.84485929595073,0.27681523105688655;14.183048347861119,14.59860409507463,0.3133744913697759;3.468368392348993,18.79003530944929,0.4724349820247383;9.07575515413031,7.2980058315319685,0.36611214436661177;8.918861259446986,6.586631691787417,2.052758691488946;18.027988899442384,11.862697529997128,1.1798896548093625;3.193051598806461,4.7595970120183,0.23565833698556346;3.629105294206338,12.492274366961274,0.43516129075716864;14.347708425492181,5.393598985639589,0.46136698208332355;2.684294031170209,17.19059218656879,1.8647716831078285;18.798048665036013,16.903622438148837,0.3013931638737685;3.290084613194015,18.14476988696352,0.42775088946399054;14.506552352476405,1.1750378801688408,0.2549595941844876;17.347431423301124,14.60906937043406,1.9120662019777286;12.900323253129216,1.0587695655453517,1.0350127734443082;13.321504436558559,8.081149012083173,2.441333206666326;8.37905578815387,9.17740555282206,1.0534420675592848;1.5331670500774304,17.23396018442921,0.6780543620445557;15.617744652383527,17.523425614789858,0.2153568474104509;16.89539429283011,9.252096772118325,0.20607141090779046;14.3221608265046,2.7994375201102324,1.2591602685500085;4.12718577706558,4.956931297885192,0.2885704684529194;1.9987481107346128,15.034964769177193,1.6025590866940052;13.748479511780435,5.340205384771048,0.21726450849989032;8.709359171121905,18.143103923577776,0.47715494932820074;8.820990680402549,6.200731900568952,0.8191723073529782;5.558970555297724,1.7515776313331242,0.33509541742636784;13.993733662689671,7.255267631817233,1.1501863573490523;15.586487662100078,2.1634521650581844,0.34952166493028103;8.743176317586268,0.3992900636902237,0.39399138797445626;6.03662591243213,14.556355508821303,0.4161291410299336;0.7299469999845087,6.930183106874804,0.4870261624183567;9.887237556570362,7.776295089547092,0.3775372273353603;5.927589491717652,15.352502079886024,0.7051502754600953;5.169330563602536,4.363877554179268,0.4855983442459763;8.489704799244098,14.400810647840544,0.4463242434500788;4.087886866901057,17.49820980008849,1.8883477668870083;9.560536558211941,15.35742749826021,0.6607314310443454;2.1809502663556373,5.045748963987116,1.083341755750547;5.875452941874983,4.1627157057279875,0.36771746685843953;15.93498412471232,18.281582417465888,0.21612579822609462;9.32028670345213,9.791045967283376,0.27539951254697853;11.674346288639487,11.098193241480116,2.235948871777218;9.896420709790691,4.346660351707968,0.2267530536886967;12.620446203211033,14.969461650869878,1.2723013554696625;9.91557363308645,9.998195628972205,0.2035183592596255;12.704683790245657,7.371169232114395,1.2324982231016923"
