Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
17,drone_5,5.325,5.895,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
17,drone_6,4.204,6.473,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
17,drone_7,4.206,5.311,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
17,drone_8,6.074,7.219,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
17,drone_9,5.145,7.113,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_0,6.405,5.977,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_1,6.546,5.281,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_2,3.186,5.038,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_3,3.206,6.898,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_4,5.546,4.814,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_5,5.423,6.069,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_6,4.288,6.655,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_7,4.270,5.500,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_8,6.191,7.345,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
18,drone_9,5.248,7.251,7.532,15.251,"11.629431892172848,14.498511600251,0.6995474044721294;11.333874730499044,14.60369975081884,0.31621098363543343;3.1828668627835977,10.15449995924757,0.7364673976915599;9.979203088083429,7.357856881303711,0.8505322491255076;16.375231703535608,9.525892488634312,2.351077506570507;19.076237302770007,18.856159433538906,0.8019178182174147;5.199453219551411,1.5595718059421395,0.21254625151254916;7.153555695756467,0.6351296838531783,0.2833941521914254;2.695473475649612,18.45463701499999,0.9349262776880086;14.395909302559552,18.10090772520722,0.4537296037402819;3.8905847312569026,14.200944244363969,1.7144924351366222;6.936986048251175,19.12431924164774,0.2753683153620365;10.497270698745297,17.6492501620643,0.47027178346227533;12.105300328542398,3.5745342908098032,2.0916316422140815;8.239272597242861,4.134260397527454,1.0460708815137916;4.108784715398688,12.694933185104361,1.273864632577646;14.360600255295715,3.0273055752506925,2.4327822027235158;13.84533753737194,5.86369270771705,0.9806359397825212;14.335983178082296,8.710570533284708,1.0851215692549032;14.827546140406895,8.496251676581378,0.9468662631620792;6.957673247203335,1.8036830785241196,0.2575734056927451;2.6710857106970174,10.873787037394015,0.8540190152684575;15.39866570807846,14.9940260360945,2.1620353575868783;17.390199708848073,6.737161870492321,0.24356079052552282;19.256030035039,9.51437762130119,0.38993511860764973;11.559291619584465,10.07625953477178,0.22989591519266953;5.895132634093013,1.4883388978978134,0.24361745689133124;14.037772984934923,16.295960536253187,0.356418155735298;9.965046764329626,18.36575798698233,0.22432453336883834;3.0376014649109724,8.872521132080097,0.9182728880854184;15.98485533730178,11.33136461018564,2.4058624473234738;15.021635685079987,4.143924119702151,0.6916870460655697;9.991390204770994,18.249560188486264,0.3685305171554992;15.939815456284757,1.8291579591950717,1.7795191675936444"
