Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,2.5701,17.3682,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_1,10.3360,7.6122,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_2,1.8430,10.6189,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_3,8.7546,5.2579,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_4,11.8201,7.3489,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_5,11.2422,10.1065,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_6,16.9019,10.6575,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_7,12.1904,6.2642,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_8,9.2923,5.3079,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
1,drone_9,6.6937,10.4853,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_0,2.5625,17.3748,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_1,10.3800,7.5252,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_2,1.8086,10.5511,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_3,8.7839,5.1419,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_4,11.8815,7.2684,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_5,11.3067,10.0273,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_6,16.9266,10.5887,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_7,12.2359,6.1588,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
2,drone_8,9.3265,5.2005,2.2026,13.9050,"15.777,1.656,2.043;6.561,5.105,1.370;11.449,3.193,0.774;12.829,5.198,0.342;14.997,6.166,2.374;15.179,17.795,0.887;13.192,2.565,1.337;17.678,2.080,0.387;5.348,19.213,0.301;15.511,14.683,0.456;5.098,13.380,0.884;8.602,13.306,1.060;0.513,15.672,0.242;1.693,6.706,1.625;11.540,14.960,2.148;1.632,0.381,0.212;11.960,4.382,1.190;19.028,12.810,0.212;3.210,1.401,1.848;19.339,15.389,1.138;12.909,12.708,0.432;0.983,18.278,1.048;7.577,3.434,1.597;14.750,2.997,0.849;2.477,8.350,0.229;3.034,3.562,1.273;2.455,7.163,1.380;3.546,6.102,2.436;8.332,14.992,0.406;9.601,4.280,0.618;2.238,8.575,0.835;17.316,15.289,0.457;13.111,15.918,0.906;5.973,1.973,1.276;6.539,17.348,1.768;6.424,7.204,0.815;14.187,14.757,0.953"
