Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,17.2638,15.2889,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_1,15.4189,17.0228,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_2,15.3686,15.5035,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_3,17.4111,16.4821,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_4,15.5218,15.1772,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_5,16.4001,15.6398,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_6,16.9587,17.3147,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_7,16.1799,17.2983,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_8,17.7429,17.6370,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
0,drone_9,18.0779,17.9828,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
1,drone_0,17.3638,15.1889,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
1,drone_1,15.5189,16.9228,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
1,drone_2,15.4686,15.4035,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
1,drone_3,17.5111,16.3821,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
1,drone_4,15.6218,15.0772,2.1715,8.7456,"8.026,0.670,0.662;5.128,12.330,1.290;3.433,3.603,0.204;16.427,5.014,1.637;13.517,10.325,0.261;4.978,4.000,0.298;16.977,1.431,0.373;16.755,2.370,2.118;10.042,12.694,0.285;12.315,8.742,1.949;19.515,2.537,0.926;6.520,3.962,1.390;1.198,11.268,0.345;14.389,19.411,0.225;13.292,1.843,2.179;19.021,10.590,1.190;7.033,14.491,0.225;6.963,9.992,0.967;19.623,19.677,0.327;5.819,13.235,0.943;14.844,4.268,0.939;1.845,3.012,0.709;10.005,7.757,1.831;6.421,8.251,0.758;8.367,3.511,0.236;14.301,9.433,1.141;14.580,5.990,0.332;17.455,6.129,0.404;11.230,0.773,1.529;12.187,18.403,1.150;8.661,11.826,0.433;4.940,7.769,0.215;9.452,15.028,0.379;10.233,18.842,1.720;16.761,8.984,1.382;7.004,2.957,0.296;7.848,1.631,1.727;9.148,18.366,2.220;5.577,5.809,2.228;0.776,4.190,1.013;8.606,11.152,0.378;5.734,10.443,1.349"
