Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
30,drone_5,7.997,17.367,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
30,drone_6,5.867,7.663,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
30,drone_7,7.634,10.641,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
30,drone_8,11.158,3.190,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
30,drone_9,7.175,7.896,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_0,13.270,15.333,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_1,8.026,11.453,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_2,12.402,3.184,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_3,7.673,9.898,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_4,9.047,10.961,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_5,8.160,17.251,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_6,6.009,7.805,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_7,7.782,10.645,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_8,11.316,3.113,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
31,drone_9,7.316,8.038,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
32,drone_0,13.129,15.192,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
32,drone_1,8.170,11.547,11.417,12.418,"14.318684957060869,5.701361657638289,2.363676900910024;18.249271615497282,1.0501112289052372,0.36965552719621;5.250939725149408,13.101523503871665,1.9495385732579278;8.611975324806378,15.500980020101006,0.47272146293699563;11.518802317029712,7.02422516591381,1.060944681917053;14.9177734959269,2.2393113442052264,2.0070676833878047;17.024044741631478,13.068604377882444,0.7328955295422386;9.425396447994508,5.170398565063921,1.7735436757620404;7.335374461673535,3.3592013285250353,0.6559248218107874;10.931647950812192,9.148110540854017,0.3078225749691899;18.966782750636717,0.9055953193706966,0.26372008208366704;2.011593768956522,7.886048475313346,0.8431104028057422;16.581455088959874,16.56604920757137,0.32908919395103875;4.2183165647135334,7.965814150588502,0.34914446535189514;11.549049361342654,16.907978548617088,0.6204369615417754;11.38396514488708,5.93336940284589,0.3969595257934843;11.978345044527478,4.788801953613271,1.2034089608014455;18.402459055662682,17.08357415574314,0.4190527996257577;18.37527150753195,5.098264253654669,0.3120811377886884;15.778777146225691,13.420778154787651,2.24693361286466;12.551886775907626,4.948679603853674,0.23392643600969962;6.255158389494687,14.531391916897247,2.2963186273235556;18.340210998421874,17.73850231260494,0.3733731545463537;2.4558539221681586,9.136149337494983,0.28477549035107136;5.498158400060763,10.868568256908823,0.4133597301495452;17.670439063913573,11.187533260085377,1.0957161622259455;4.358972778207389,13.502896720504419,1.6013789227122985;4.9948507057482345,12.701391498500573,0.8944675726333976;17.120543275758298,7.627979869209683,0.32269995136666724;15.70625902448715,10.287749037367655,0.37039690626964866;6.489767026659198,4.511811648479542,1.3492772577206873"
