Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
10,drone_0,3.443,12.896,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_1,8.007,5.091,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_2,4.970,4.717,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_3,15.639,6.115,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_4,2.403,3.912,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_5,3.543,5.003,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_6,3.105,7.340,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_7,6.927,11.170,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_8,8.680,16.415,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
10,drone_9,2.866,12.607,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
11,drone_0,3.567,13.016,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
11,drone_1,7.901,5.261,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
11,drone_2,5.081,4.883,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
11,drone_3,15.572,6.116,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
11,drone_4,2.540,4.058,7.048,15.991,"12.192189685244976,5.198387007887829,0.3591303572851072;4.069367232739133,17.170264101140678,0.7910773199642572;14.365306602598775,9.522782974030994,0.4951525818393809;10.735772483734422,6.520530789464904,2.2829938464796156;8.345933880766454,8.059877918433827,0.2030372976996818;14.541357842239545,8.203171693605473,1.062362159416149;17.3213230932252,15.85859418883097,1.3119823401697417;11.675558601076794,2.9142411204470755,0.8138428457545848;17.898741179242403,10.781698625370536,0.7996369432045357;18.434567987579726,1.5414231799546487,1.2604667414149109;3.3329090656359064,9.300585547630698,0.8728376095456478;16.029504886238048,11.459079668010956,0.4416050561112;2.1148307198109317,13.604265142316494,0.43205745960734704;12.213053479093114,12.918578271001536,1.2745140892630504;16.53133314981954,9.738968953878478,0.49277060244317633;13.466992190370396,10.547833163053328,0.446221644768886;10.947615998032093,12.973068935507117,0.27686447136652165;17.97448223671258,14.967323209641211,0.27310366750347104;19.10915144439479,12.037328001243885,0.28283004468721146;15.152364114687416,7.708103050844061,0.49909867040517447;1.6011029226002582,10.100499852601448,1.2448645041492692;13.307299902840438,5.783310163503677,0.21885258174096617;14.114512959726817,19.495882232109963,0.37153196711957853;9.776644592241382,19.369512789049384,0.27876021118936284;9.832717081144432,8.691491282153986,1.2747203082297542;16.72824564775629,11.695797945440294,0.28566763107098375;16.281438309322954,9.785042531302517,0.36649881654970295;5.1385331614834815,2.085842712419923,0.7303811846531781;2.062218226202638,15.807011679813598,1.6830976938781155;1.6325339479942058,16.21508333249485,0.2975515521025548;12.675805458421802,18.069311193793475,1.0829333291538128;15.797128952339191,14.977819578853733,0.6653377440392423;15.48389518306261,15.809500405736742,0.40136143377695493;10.546086092641625,6.730806957136322,0.27783644957633824;12.900342874735626,16.162892335055254,0.3087428232520999;3.390350175645173,1.9046962843708921,1.0205113425853114"
