Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
8,drone_6,17.055,13.173,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
8,drone_7,1.116,16.787,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
8,drone_8,12.992,16.811,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
8,drone_9,2.499,18.390,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_0,16.522,12.534,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_1,15.793,6.575,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_2,4.088,3.032,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_3,12.884,5.661,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_4,9.935,16.251,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_5,5.390,17.319,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_6,16.933,13.294,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_7,1.009,16.618,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_8,12.848,16.672,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
9,drone_9,2.690,18.330,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
10,drone_0,16.424,12.502,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
10,drone_1,15.652,6.717,7.628,9.837,"0.9446668445477733,2.0533833297351403,0.2629692179689185;13.020237417239237,8.050508276269435,0.35567160663270014;1.219990052478039,3.376937427410886,0.8778513660910223;14.657239969732599,2.774772288412112,1.2058961493276996;1.8364049719022804,11.901747816131321,0.8997559808677926;17.839582626648887,7.539654450287156,0.37689849452525215;18.243967408473964,4.980658773065555,0.48354303763060574;16.417729624137962,15.570884133099911,0.9402522473006436;6.154277737219262,7.619662983848802,0.2987499996456907;2.595426402343343,5.516037632023666,0.38785123138063093;10.762643002464797,11.900914615158175,0.690218340060915;11.625391752725577,13.351378888503412,1.3000645186057374;2.2466700527698977,9.068049787396038,0.22440913211876717;18.923425615891436,14.692775264862586,0.8155837307609733;9.31707470652958,4.496647426234148,0.43837991125159453;12.626000611008664,7.666284242009068,1.1968169578264574;1.534239615698857,1.527127935150118,0.2991165939638065;16.873867638355,16.649510935063024,2.258226977036191;15.279289713305989,2.37766349341495,0.41487747177906026;2.5341388745070774,5.41593410902275,2.2240112746535186;13.081591326667525,8.053039212137175,1.1651907967900121;7.282646243126468,4.943898338871167,2.447524417232565;14.985580572658408,2.227672054664149,1.9150711992717189;14.688070611000828,12.491830718207876,1.298911753145636;5.338807743911138,1.7364889677330049,1.1252533630816708;4.657089163388967,12.961124684826839,0.45658691911690497;3.551376019477501,15.900534190792444,1.6291015978058052;2.5153027898482248,10.183049575699442,1.534430945793288;3.5690354170531955,11.495869753827044,1.5387682836158492;4.684921464245718,6.718045013021465,0.427674747141064;3.72195166350083,15.594189204361076,1.3714211257235034;3.221601059426476,13.820016445024446,2.133130620387112"
