Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,10.3480,16.0426,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_1,15.3446,11.9909,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_2,5.1726,17.1015,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_3,9.1925,9.6041,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_4,5.7668,12.9982,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_5,5.5349,12.6852,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_6,6.8904,8.2512,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_7,17.7705,15.9940,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_8,2.5892,7.5454,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
1,drone_9,10.0162,10.1190,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
2,drone_0,10.4894,15.9012,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
2,drone_1,-100.0000,-100.0000,12.4332,9.0600,"15.481,8.698,0.280;1.979,10.148,1.019;18.789,3.965,2.380;9.827,12.127,1.214;10.877,19.009,0.634;13.178,0.939,1.125;10.432,2.969,0.794;16.911,0.496,0.477;18.398,8.805,0.217;15.916,4.413,1.957;1.354,1.768,0.713;2.137,4.762,0.304;8.358,18.966,0.309;7.902,1.569,0.964;7.740,4.558,1.286;7.796,9.863,0.830;13.403,3.248,0.466;1.491,6.113,1.286;19.790,18.128,0.253;6.691,4.948,1.281;13.497,13.034,1.726;15.957,13.609,0.467;1.978,11.877,1.191;17.769,9.829,0.261;19.739,14.572,0.376;4.624,11.217,1.083;12.488,5.100,1.269;19.843,10.298,0.270;11.573,18.732,1.029;9.887,4.787,2.477;17.306,6.208,2.153;3.925,5.331,1.512;1.134,18.336,0.220;16.848,15.126,0.770;2.904,17.410,0.622;0.337,16.734,0.442;5.134,7.760,1.353;14.264,13.303,0.952;15.713,0.598,0.266;2.665,0.513,0.921;6.850,10.983,0.897;3.301,13.361,0.668;18.634,2.386,0.967;5.846,5.523,1.737;18.208,2.621,1.556;6.704,10.118,0.465;14.492,18.714,1.266;1.566,3.557,0.492;10.373,13.578,2.243"
