Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
15,drone_8,14.878,7.404,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
15,drone_9,5.703,7.760,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_0,19.746,10.238,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_1,5.473,11.439,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_2,14.871,6.522,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_3,18.567,8.605,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_4,4.829,7.288,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_5,12.448,9.525,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_6,13.443,6.565,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_7,12.346,3.684,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_8,15.035,7.333,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
16,drone_9,5.763,7.921,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
17,drone_0,19.803,10.430,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
17,drone_1,5.550,11.623,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
17,drone_2,14.991,6.645,14.311,14.889,"3.589242367616675,10.860179912994655,0.8407635441827473;17.10428351815085,11.068618815240516,2.256204868313257;1.2714347912271735,19.48738821030885,0.35047369667932887;5.089512963756801,16.535656926012685,0.38534004729060267;8.345480796984074,9.571260912345647,0.4319191417835744;8.462287829443708,15.445379744534122,1.169513640933388;6.3965387485229215,1.3253961329367738,0.4033431123004799;2.118986749002823,19.210663865881667,0.3671319807386684;19.36695312371135,16.484108185010808,0.43088541947810866;10.446761924776116,12.606337813994987,0.45718754021239144;7.654810553983809,6.328990475126072,1.651328935945414;2.1518707911647152,13.053956362292164,0.20119894867947605;6.3246741293865245,18.37630159082166,0.9153893779411802;14.839831388562425,9.144541912911219,1.3656500361666288;8.631675317769394,5.260775194018379,1.2842037755313809;11.66886948125101,5.198860731821863,1.1421819571732112;16.322387525812346,4.280931220698145,0.20596990439328738;17.171259487201137,12.523577900221678,1.175645803055564;3.2792947043224427,9.351909292632563,1.9080305714992178;17.567736681366725,4.220484850989394,1.0411128136620496;12.037751395587874,11.12782242057855,0.9172773628816078;2.155659957895293,15.010304783349529,0.43540762389830423;1.203636051682118,8.688743686103692,0.47981339225850406;9.294213380779532,10.645797886909152,1.6073526359571984;11.778343154493287,13.04378088397786,0.9290160018427315;18.34346986462471,4.108333474447863,0.24897220111344545;17.207152658250582,17.12294710078753,0.33932771162828507;8.398024593250158,8.68204543934361,0.30347483620050053;17.72127858867872,1.7545865165748902,0.6714605705876635;6.942120953701308,4.701371785047811,0.6179890356559975;16.55164531510249,2.7454394276636354,0.42292226905648;4.067454621971425,3.4771046956654823,1.6395477951907105;8.359044932598161,15.813487091021072,1.8459637968600942;9.961301099875945,5.607715199420947,0.7671295124452975;8.05759889404476,10.665706624386338,1.817078368256806"
