Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,16.6892,7.4681,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_1,7.8617,18.4125,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_2,12.9777,16.2247,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_3,5.3631,1.5165,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_4,8.7564,6.6734,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_5,6.3220,14.4284,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_6,7.7871,8.5291,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_7,15.7255,1.8840,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_8,16.2412,4.5297,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
0,drone_9,6.5367,13.7817,17.1767,6.6910,"14.427,12.304,0.333;2.929,6.054,2.142;10.869,14.256,0.636;3.297,18.482,1.272;14.228,3.689,0.301;7.959,16.778,0.436;17.730,0.815,0.386;12.614,8.306,0.729;11.797,2.097,1.667;18.988,13.354,0.398;10.152,2.576,0.727;17.969,19.647,0.383;11.827,8.284,0.365;5.936,6.437,1.902;6.509,2.323,0.233;13.373,11.906,1.831;3.401,7.492,1.918;1.453,14.223,0.836;8.230,3.511,1.137;18.090,16.465,1.290;14.434,3.432,1.311;1.874,8.745,2.316;14.767,16.249,1.286;5.053,18.493,0.203;0.936,14.644,0.282;13.296,12.314,1.759;6.889,0.825,0.498;1.130,0.812,1.530;10.641,18.662,0.248;15.158,14.860,1.808;13.537,7.514,1.379;4.479,2.251,0.394;11.499,7.934,0.206;14.310,10.680,1.052;12.952,18.705,0.448;3.463,15.607,0.212;9.491,10.715,0.258;1.489,14.480,1.726;7.570,4.134,1.969;1.714,17.844,0.853;17.660,2.968,0.953;10.204,1.613,0.979;15.436,10.452,2.038"
