Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
10,drone_7,11.910,8.378,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
10,drone_8,10.179,12.933,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
10,drone_9,6.067,6.247,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_0,12.970,8.464,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_1,16.240,2.447,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_2,10.137,7.383,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_3,14.681,2.829,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_4,3.685,3.434,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_5,12.235,9.119,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
11,drone_6,2.607,10.278,15.963,16.266,"9.792850265358167,3.344647996405044,0.7897943051567224;12.029849086299922,10.03060560781673,0.2583469411612863;8.071579646006475,17.710130427935066,0.2624157009992543;3.788325961771419,15.587392580422286,0.3765210231754951;4.405238685477985,16.341605996517607,2.285760265805466;19.109807161331464,1.0279333062162013,0.44818244212804903;1.896122016097445,0.48580287078866197,0.30153665003867564;11.737962994722746,1.7908234045314542,1.1218498789193143;12.054814943732135,5.032823068232297,0.8020924165163013;2.4606903432634466,12.60589485278839,0.44685751318821154;0.31413303442665264,8.919385143124885,0.21774098561570288;2.1175627942773536,4.370823703566924,1.1294973524517524;12.67159644132074,11.551520248987636,1.909530585884317;1.0273571659241303,16.573025883873928,0.3810505268903619;3.899717808356606,6.658229555665671,0.34469717906347885;14.881550221678538,10.477029308601493,0.7746654921706324;15.534884472242478,11.431214192393568,0.374864897557127;14.90010589775783,9.241821506465142,1.1340397231617723;13.633571433791746,10.886214974597934,0.8110785683324296;19.557311096538072,18.149050050321243,0.35842300687331635;17.561909545689367,18.27337360677113,0.44940585872268135;13.475269596688241,9.014164362497386,0.23066936166501495;17.24488111023902,10.249878018274053,0.8486786933802276;6.065968685018428,8.979876510711453,1.6415550475794674;18.1157825116266,18.292160651999918,0.9273187094600698;2.762611329953517,18.718171343761675,0.31177731292630523;16.949837686513007,18.53185537225356,0.2031941042790705;2.8514639916145783,5.326978622143493,0.6717740582057264;8.284385788378613,1.0128138373588322,0.24194652608680642;11.33283774319532,12.934090409515784,0.29931920497929554;8.867313761711825,15.619870600666001,1.137802684653764;13.72242481510541,5.10219845725176,1.958507853991418;18.041304051222024,18.753013748787918,0.26530760987832186;8.52773689075592,16.528489935820183,2.4252308078265488;19.616492047048578,11.605401760649128,0.20548211241884548;9.932675961210148,17.31524176805077,0.38606090810265054;11.606481006358978,11.18363673876086,0.25387665977389434;13.904934058157801,14.091622236902634,0.6164167742694888;6.248856536189908,7.115009460556948,0.42570084462962676;16.993182155352688,11.385842527646213,0.36843570631823197;1.0304975085175094,3.4044717175755794,0.6523767555386369;1.0734839774518128,0.9755007171703794,0.2086209599774944;9.419715103671098,19.168482524893836,0.23557435390119133;19.200869279964365,8.129468708824158,0.36637597577798275;15.96020746199805,7.175244657928887,1.1897505129155226;4.3312248124613095,1.919621221070498,0.9542432391740088;0.9650139521200778,13.849239486989427,0.3710431342675157;7.202945520318643,3.6053069791999626,0.4319077894729956;13.27889166641305,12.978767713176898,0.3655027715538882;17.855825131773322,3.8075917919634774,1.36921866056195;5.527456394593412,10.392487523033097,2.305468547800483;17.337421348922252,7.542107674771985,0.49452311927057946"
