Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,16.127,14.418,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_1,7.297,1.404,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_2,5.575,2.978,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_3,10.136,1.218,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_4,15.329,15.206,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_5,16.983,2.599,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_6,7.064,4.275,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_7,8.025,3.130,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_8,2.977,1.580,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
1,drone_9,17.751,17.611,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
2,drone_0,15.986,14.277,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
2,drone_1,7.297,1.604,5.532,12.877,"17.212898905463568,11.03559961033531,0.24150980734770655;0.6081731575752553,11.048648394265134,0.4586579283761616;7.149870072002449,17.380753809966702,0.46860386718499236;6.291489174850479,7.3208995807001145,2.257927477562563;10.097899654484904,18.42082881814267,1.2002193700175496;3.94653370183984,5.580572302482371,2.1176668414043402;6.070476644065109,1.6485405970140095,0.3851447908851652;8.825893091666396,2.0637400661625196,0.22748677065842912;12.860319130261596,5.121005619898638,2.2997341790021064;10.792052121122515,14.820284196742112,0.8839334454735076;17.92036589830759,1.8794023412739247,0.2711042977631118;12.209272266562888,2.4628128198911203,0.49934331960047623;16.87405914724855,8.864567259306487,0.3223384408461074;2.477758153150437,17.90717206362219,0.4535308949401219;11.508917834322398,0.9324168384857634,0.21097636568701522;11.485733554375397,5.855268747520677,0.8496689174400363;19.199241156858754,13.318180388948315,0.4848081636979928;18.83549122021214,0.7700525004833556,0.431296879729944;7.219816920711174,16.3026303029061,0.2154123129375632;12.145769448168561,17.931255038202362,1.2095582100664415;11.922564743493275,1.302310639468425,1.2201129313108925;7.249533711874071,6.515074448604022,0.23899002223370347;11.057335990289522,15.6936616442448,2.4696998159860244"
