Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
12,drone_2,14.716,11.222,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_3,14.754,12.036,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_4,12.869,13.039,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_5,15.219,13.170,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_6,15.721,11.702,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_7,16.075,12.898,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_8,12.506,11.782,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
12,drone_9,13.799,13.528,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_0,13.163,12.287,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_1,14.121,12.732,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_2,14.553,11.274,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_3,14.649,11.931,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_4,12.711,12.970,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_5,15.103,13.043,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_6,15.628,11.525,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_7,16.018,12.736,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
13,drone_8,12.338,11.744,2.977,7.624,"16.47779749538126,4.22770387831196,0.3999775185976254;17.795893584026686,1.4279353820721417,0.6483857453192979;2.80392657900482,0.984209347345387,0.2599510485869422;14.492960806526977,1.5498671890983737,1.248420697293085;8.244882919260817,15.0674643976729,0.9999064212965068;18.400507838246856,17.07059394732091,0.46921967477725907;17.9042940261732,16.411441032399335,0.40672608418806305;13.73012541468742,2.6669542833434043,0.33932674208033187;1.731873839813409,14.15600177305222,0.7626873358384926;3.8359532169762844,1.556500223284433,0.6868335753089925;18.83764436346297,11.526596088344693,0.9805276925563697;11.771355153067027,6.084139732506529,1.2421280882714014;10.200928745863388,15.305226184667355,0.3412653622574226;12.217052908987856,4.1582383998630865,0.2509856090974502;9.968745919651854,3.3048325457479217,1.6018770570865193;1.1891368619059806,5.444226464642698,0.22714431847297487;17.83923565965458,9.4827183581957,0.8658848334272526;8.844691801544812,15.468727938532643,0.6260659503631795;13.540003640903926,16.574996170949092,2.0866582655012396;6.865760590683989,13.08628586561241,0.848775515618167;3.0963462251865765,16.613660763567186,0.3016695757672503;18.37673699104139,3.5972056035219273,1.288877165146958;2.449558035235808,16.3572929897026,0.7267354618847846;0.6239680267596849,2.6802098863382113,0.41959777761770356;11.870253901238879,17.933199304183994,1.7609968490201577;14.5977873944098,17.373103373363822,0.2876098963608049;8.694054115477313,15.499009757488288,0.3782108291515548;10.975403264688056,16.329628180414993,0.314103228381749;13.109973488364723,15.021865686310202,0.7052952792517752;13.346467820590313,9.942447782781413,1.2695720396065409;13.895066263838597,8.998240827720718,1.389784649780693"
