Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,17.2630,17.3422,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_1,17.2507,15.3757,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_2,17.5538,16.8145,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_3,15.3893,17.8719,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_4,15.2767,16.6877,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_5,16.2255,15.2788,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_6,17.3539,18.0973,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_7,16.7332,16.0105,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_8,16.6389,16.7241,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
1,drone_9,15.8244,16.4239,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
2,drone_0,17.3452,17.3465,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
2,drone_1,17.3450,15.3481,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
2,drone_2,17.6449,16.8044,7.5568,14.2005,"8.906,3.061,2.322;7.680,11.728,0.259;0.595,4.802,0.292;5.976,18.440,2.049;8.360,5.866,1.353;0.251,4.825,0.200;16.211,5.693,0.324;19.150,3.544,0.329;9.795,7.980,0.981;16.321,8.029,0.632;14.660,13.028,0.232;13.046,9.385,0.629;14.471,7.089,0.431;13.391,6.043,1.229;4.579,10.181,1.981;4.115,16.628,0.320;16.318,3.122,2.339;10.169,8.734,0.470;16.201,8.460,0.264;3.359,19.298,0.488;12.801,12.989,0.299;0.429,18.869,0.268;2.642,16.611,1.313;12.588,17.117,0.459;10.106,16.349,0.753;12.616,6.656,2.069;18.456,4.823,0.855;0.953,11.207,1.371;18.189,10.793,0.676;8.460,4.432,1.238;6.013,7.548,0.203;6.825,5.182,0.294;3.593,14.451,0.992;9.967,11.856,0.887;4.124,17.601,2.316;10.224,13.482,0.480;5.645,3.425,0.337;11.671,13.194,0.283;10.690,4.636,0.277;19.458,2.214,0.879;14.373,1.936,1.974;9.384,17.508,0.327;4.422,5.145,1.142;3.527,0.533,0.612;9.792,19.402,0.334;2.892,7.546,0.910;10.768,6.515,1.858;3.460,4.657,2.423"
