Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,4.8313,1.9452,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_1,8.9799,12.0926,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_2,8.6623,6.0382,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_3,8.1123,15.2746,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_4,18.5236,4.8977,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_5,9.1315,6.4054,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_6,13.7780,14.8653,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_7,14.2413,9.0415,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_8,10.9237,1.5928,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
0,drone_9,3.6812,3.0551,16.7027,7.6957,"18.915,1.729,0.359;2.454,1.681,1.562;7.031,5.812,1.168;15.551,17.920,1.212;4.062,6.307,0.718;4.490,7.870,0.937;3.089,9.070,1.825;11.379,16.899,1.087;6.590,5.117,1.384;4.563,11.513,1.373;11.704,15.733,0.493;1.200,4.127,2.112;14.382,2.773,0.767;13.459,10.882,1.690;1.612,11.782,0.303;3.535,18.704,1.091;6.637,8.466,0.314;18.670,17.908,0.377;11.835,4.953,0.435;12.278,2.848,1.114;11.055,15.962,0.783;3.183,10.272,0.697;16.007,13.209,1.914;13.477,11.493,1.231;16.802,1.931,0.863;1.112,18.586,1.062;11.686,10.606,2.482;8.321,12.272,0.243;9.299,1.929,0.290;9.929,13.412,0.326;0.564,18.198,1.106;10.019,0.904,0.290;4.479,6.655,1.766;4.301,16.459,1.207;17.044,14.261,1.327;13.830,6.672,0.406;17.326,15.376,1.800;19.530,12.642,0.445;2.678,17.716,0.303;18.992,11.076,0.966;10.924,13.736,2.132;13.434,18.666,2.254"
