Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
14,drone_0,12.099,10.652,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_1,11.407,11.099,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_2,15.151,3.016,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_3,18.007,17.264,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_4,12.765,8.884,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_5,14.823,7.822,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_6,2.829,7.901,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_7,14.137,1.777,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_8,5.447,11.338,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
14,drone_9,14.713,1.172,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
15,drone_0,12.032,10.493,7.999,5.452,"11.918925194463673,13.834127051054924,0.32104966151255854;17.79589988200708,6.2380883862564165,0.37145097794027093;6.421392329811225,16.518582649141603,1.545400350324119;16.043361985060603,16.234405600306573,1.0968266525962813;10.789312303738757,15.656868965026915,1.1290307891947224;17.622796839133603,15.817744686497878,0.9011226788233246;12.967264933077596,6.240340388001563,1.3035136676067522;11.88407508574445,5.355885889162552,0.4771378435485685;14.383107772963363,18.11833819318253,0.8909276373421581;18.72212316484106,15.769374515220829,0.3300234712062613;15.554572050870094,13.1648769533967,0.9436291333353385;16.7339706296117,2.8039556140056923,0.32154251764554337;6.9540461903289,14.980086696230565,0.3759549265216321;19.2398772223491,10.054627865801141,0.36041423356985347;9.828105860127371,1.2653531965554143,0.6342488447489312;8.24573403017179,11.12858256874439,1.5997329871307624;1.1990096019608105,14.702263903040055,1.0500217865364059;3.3925539483736573,2.9549662116742135,0.9313506845744399;15.287909883486206,17.516379246020122,0.4164346696228317;14.004867556572949,5.235048410693063,0.29960174812241597;8.88311027205775,13.74301018240405,2.104775026915435;4.621334771919,15.799834624181356,0.25551725534377584;1.2611680589758651,16.27240674341333,0.27930675382611236;14.558043542099716,2.4387829267080248,0.3383458490722703;17.61400564588398,14.102953744459247,1.5968475988742408;14.17507585430155,8.628920640256712,0.3300676687776175;2.5144440322035844,15.633413635700474,2.416761576619405;17.476854310760103,13.03372742827608,1.3748194267307479;18.313777332676707,12.180645212985779,1.2259343143815897;16.047696243435386,17.95444750064353,1.022932000873712;17.631137072095978,7.312018604527114,1.6822203540833358;2.587989337408102,9.139834468174131,0.2140727996461154;6.05426363228886,17.08052627363918,1.1299808157603892;5.297766266740866,4.116127137798639,0.3995906098068973;13.111678167676788,18.04900026157719,1.5762450325175743;2.6823473561113675,18.183339934601616,0.8677682832401848;8.494999889604049,9.077267449798331,0.7741913993210839;1.4921075525112784,18.640964908985367,0.44430909598153223;8.414650605216812,16.41949804629359,1.0460161921544793;4.261265504822521,4.654064659155757,0.35721917768992195;6.029382133077032,1.2092615940173637,0.2619162730939389;17.52803822491145,14.922858516315554,0.8189994103475926;11.634168748116954,8.683178788586632,0.2614353757538907;14.87786032060891,3.716529244288636,0.34588067915971066;6.131309897298695,0.3291673533032284,0.2297093089189544;6.603598650356149,2.624984571089245,0.8146426590308158;2.5804732587087886,17.09691114949311,1.3435088731766973"
