Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,4.173,15.250,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_1,5.680,16.481,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_2,3.246,14.132,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_3,4.760,16.480,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_4,6.050,15.618,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_5,3.825,16.443,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_6,3.810,14.614,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_7,3.181,14.946,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_8,5.213,15.491,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
0,drone_9,4.467,14.685,9.264,8.576,"10.028787442692103,12.863076621598605,0.29923778096941145;17.127983645003095,11.460112070114905,0.42623752920351027;2.9892792926208456,16.982667325120936,0.46449931088287666;1.9689167768704552,15.950939851645202,1.2655716842610172;12.337696065985675,0.45724185622786007,0.23672213789335358;18.70634563551912,9.958758650197645,0.7699053717924599;11.652008257614154,13.773239660337667,0.6902369096593017;12.222782937514468,16.122096325988487,0.4605471458362086;8.563981303620098,0.4422814023023598,0.4254774292400566;19.061056889762103,14.500947794969983,0.3882679886880986;1.0379839264090387,7.35396346078644,0.7585532946864046;7.6201634849304,17.346422076618037,1.863496923510548;4.6388637254932075,4.087834799416655,1.085135943502452;10.308964212181934,0.6193582509984483,0.2093859028949194;13.679597038082724,4.642154500562237,2.0120148020933013;10.812018213212442,17.546217529455163,2.147478217844896;7.907904066686468,16.70766411479082,1.931812309034339;2.6031357387535965,8.800261083866019,0.28567952302819216;10.473482053099167,1.6787174827447795,1.0394245951766854;5.292538974743257,3.023502765142792,2.1282748180725806;7.308916653505489,3.6861215008670425,0.6342084709342753;13.271117226666542,12.958301625041663,0.3526408741278717;8.05246965768158,13.440669528095018,0.46594149554447206;12.862278789401422,11.805388131735668,0.8915105502507478;15.660677301084652,9.146048587708629,0.43700437537112946;17.579389584014784,3.79087980980297,1.7977001289832883;11.476377313960906,15.082692594804218,0.962075435077538;14.553069425506905,7.0587946652972615,0.4473684576965329;10.922926322463972,7.006218309942275,0.20120968301146513;11.330612880521514,15.108260718420985,0.8388145193140139;5.938506442811633,12.613709338083956,2.3722045239791707;7.236783726702326,11.686348030420124,0.4643497709267046;5.606795757417119,6.747650052542941,1.0174913222290862;14.879101167239364,10.259225367365241,0.2324314541891323;13.275415309632292,2.9381145195856155,0.7753796814379338;4.8260723513725345,8.65094398444913,0.7053597814093066;14.680030109065271,4.869617060531656,0.41446549238936237;3.4769122583015983,9.551922483856403,1.0519054985565321;14.919935179057706,1.2057692756294855,0.9866734516385254;3.4416331384988403,7.021059759540626,0.4998007674043503;12.830838611478372,17.805850861912038,1.9449018512037468"
