Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,12.236,2.298,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_1,5.319,18.957,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_2,15.048,12.940,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_3,18.211,14.583,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_4,16.276,17.596,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_5,12.866,2.914,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_6,12.116,3.062,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_7,12.246,11.266,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_8,17.813,16.135,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
0,drone_9,14.217,17.028,4.044,3.815,"15.391030080760395,7.698555992380113,1.568255840881589;17.10249732126642,4.330488031004138,0.8736143347545078;17.764874544290134,11.825144384044531,1.6064102145399515;12.481774628648054,0.8158570648676071,0.39331275436719504;12.81755004151488,6.8607888656976606,0.4630257770733675;13.2115485799282,12.860870379085602,0.3672135381318864;15.781382098111399,9.697404018624557,0.4197261898409767;8.329314604752957,5.775325071561769,0.4232386752300047;17.467230386702084,9.661857258620756,1.6484736692076152;17.930662994505443,3.75233642187444,1.901181951229123;7.077134092761379,12.64295543217129,0.41221085900435617;8.830413778229927,9.927744518282067,0.41752436619434746;2.5276491967653247,11.964887854270257,2.4326556276756666;1.137533661370889,13.798258892461384,0.2907313462982241;11.71167401582488,13.981812574217924,2.132545504054058;16.89791067477878,12.017275143074801,0.301381859693035;17.648121160527996,4.747076164709573,1.6153801441589517;1.8335790601709436,15.26186737962194,0.2718345088983066;6.780922223377704,4.10397843733381,0.4262720645348208;13.784681919048888,16.515094049274143,0.4120374776664266;2.174832870917725,18.685765875227595,0.27068829131969596;2.6519310150319044,16.384164879060435,1.3003999546167808;15.363758996786938,9.819427831914982,2.3555914028792664;3.9844126625224767,14.056163252934295,2.435017304530209;13.230375232275057,17.68526797526367,0.23825076743422544;10.877887169663566,17.322675123652896,0.943709944114486;5.0464014065085845,10.38158128544115,2.3989469492225632"
