Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
18,drone_9,8.691,9.767,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_0,7.955,12.176,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_1,9.042,10.321,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_2,7.647,9.963,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_3,9.190,9.190,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_4,5.906,10.041,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_5,10.331,8.934,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_6,8.300,8.977,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_7,6.662,9.566,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_8,9.266,8.389,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
19,drone_9,8.601,9.857,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
20,drone_0,7.953,12.376,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
20,drone_1,8.920,10.443,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
20,drone_2,7.643,10.135,3.329,14.344,"1.8289892482277157,17.558166742041376,1.5230613158570467;5.011919594105579,3.4756156489753147,0.3359332312529689;7.256511908376326,6.554133313704517,0.45366213021034363;8.454794637250977,13.541133572629294,0.2754084185804364;11.234198499426578,4.36029434521364,0.6805196927097438;1.469047639433575,9.849355271884589,0.40526517630389525;3.222456563178005,5.488812908977415,1.0393555774734429;10.36771844903142,13.075391221212627,0.6541588428228687;19.139245469274265,2.5024320136209246,0.2817550037454619;19.348459065048537,2.1469619180497594,0.37267015898651895;0.9999603340488785,6.813348790821299,0.40399951434129433;18.923610820786514,6.796113737654826,0.7043035626352321;13.97824405799201,10.289077539992721,0.7898383003495651;2.8500097610679296,2.133086172597987,1.576331743869447;6.471253288534116,11.504045807437304,1.1510849287450364;3.2193354489182906,4.36397207763396,1.1967550160420246;9.412237014406617,2.316717649313274,0.48823109813364274;17.981532602388373,16.06460620377138,0.20034269469446936;13.238232408474024,15.95191048253807,0.6053400871580205;8.88188387358556,4.557068172280521,1.8257065384155882;14.834851516686271,13.603852931038778,1.0159071286593875;12.14879240038927,4.6240374212204856,0.4712491806523432;10.490654934547477,10.652816498586542,1.0199292336331818;13.818268388443531,3.5806760333118093,2.445897077425296;10.569755723877417,2.5391050137693254,0.2954948472242845;18.345488045162725,9.059020862087857,0.2593841575468016;5.688933769805677,6.286671445287453,2.4756681920146706;3.1438110073191026,9.359277325041088,0.22202653589271157;9.862483213446566,15.499864365841988,2.4614827239764914;9.518599497371996,13.302570933402674,0.9409871661785103;14.50795017610583,10.177483258256109,0.3390749699268585;8.170641398432235,5.66871526144647,2.081976154134905;5.7713247516152215,1.8555830297588054,0.4138427959697588;18.117727501912036,12.485118991564601,1.363783367733642;1.6775095263858608,10.145840897551217,0.8746465456535786;14.203932537713815,10.11586046701714,1.3758317103380886"
