Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_8,1.779,9.978,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
2,drone_9,2.768,13.833,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_0,5.638,9.722,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_1,15.405,5.576,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_2,5.386,11.451,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_3,8.840,5.443,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_4,18.303,8.299,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_5,18.584,18.751,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_6,15.843,9.522,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_7,7.020,8.135,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
3,drone_8,1.679,9.878,17.030,7.445,"1.2923777330604853,19.318124449681306,1.0604569852747152;5.450206623115191,17.028153902516024,1.5064569979132036;16.22937882092519,1.637836268208701,0.4347183446076762;4.195893651565467,17.443308007052302,1.044983429396003;15.635533448015241,18.70335768798109,2.138382990723862;11.457789670883503,10.831032360130337,2.0173623158423677;14.63683073012991,3.051296855833832,0.2523247322775112;7.969976783264229,9.709181961659896,0.31466767268283036;8.555489013858145,13.653794284276909,0.4699584453265372;12.150983442581836,19.420954325886473,0.8441590380514559;2.226318245992321,18.374715844119002,1.1627753376606536;10.1065365021902,1.1543039298315845,0.3855188886768509;13.911990030562823,3.823425887504961,1.2034175079416096;7.078316590036995,0.6828895507943953,0.6801096380363375;6.782794298124466,17.258350321962276,0.4682564447973576;15.717782802714167,3.621375339043172,0.7004996742095825;8.144096070178934,19.393536453999964,0.34377338709914473;7.591773643738115,18.163106279023204,2.0067248847481762;17.238009216196453,18.733525820331504,0.876254697450217;4.0231811381998055,0.9417545335620295,0.7329281884892764;14.300797558422257,17.10601064534532,0.48275104183498446;9.225799295367972,10.171085269938418,1.9235858972772588;1.5068408935901796,6.388917866671396,1.0060903228025901;8.801666614176025,14.339323027216542,0.3500072363059361;7.065359876174551,15.20967494849467,1.3272526765692012;6.364550048561463,1.199361362013042,0.23137687669306237;19.0640535048843,2.13130090629018,0.49212123475322606;11.936884608539925,15.799897068696254,1.1552998396292076;11.916130739501686,15.047598535663491,0.4270257512429697;14.003256056120355,0.7458161706651157,1.2916074803017106;9.671900688592473,2.36891556115339,0.38305294143596347;9.914701878353085,3.7281908706982856,0.28737393245010434;2.2850366481839064,19.66150305664017,0.3773147412425961;12.859471651717278,15.522692083409606,0.7812263617252923;5.677848674493468,15.948481308913264,1.1777384033901326;19.56585585244449,10.054829924809138,0.42145675383257697;12.733948761357388,16.48052781825094,0.389406828372969;0.6882308506057646,0.7191275408625495,0.41840721468370135;5.255490783696277,2.665026285238257,2.1042274233754585;13.145245137857081,10.983862815409465,0.4613312256343985;9.639937162997338,2.644291855315057,2.179325236352616;11.607503080056894,19.07599980147106,0.335078416944033;9.394482104423947,0.2133863187959804,0.3277537769701606;16.42453015763063,12.394688434675018,2.0085359610779383;5.335508687986318,19.126610080361452,0.2567493298692847;13.96130164375407,11.25193449822581,0.9576138655115396;1.74358693923188,8.283339185003149,0.45695928736476193;8.429733266110086,13.888497016998635,1.504654670072216"
